sep=,
Name, Score, Date, Time, LevelsPlayed, WindOpinion, SolarOpinion, AwarenessWind, AwarenessSolar
, 16.82876, 7-2-2018-, 11-55-14AM, 1, 3, 3, 3, 3
, 30.57718, 7-2-2018-, 12-09-10PM, 1, 3, 3, 3, 3
, 29.49312, 7-2-2018-, 1-03-03PM, 1, 3, 3, 3, 3
, 29.49943, 7-2-2018-, 1-21-56PM, 1, 3, 3, 3, 3
, 16.82874, 7-2-2018-, 1-40-53PM, 1, 3, 3, 3, 3
, 16.83034, 7-2-2018-, 1-42-55PM, 1, 3, 3, 3, 3
, 16.82874, 7-2-2018-, 2-05-48PM, 1, 3, 3, 3, 3
KKKK, 50.01217, 7-3-2018-, 8-38-30PM, 1, 3, 3, 3, 3
, 16.33097, 7-3-2018-, 8-41-23PM, 1, 3, 3, 3, 3
